model,track_id,stem_id,mldr_lr,mss_lr,mldr_ms,mss_ms,param_mse
gt,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.05663944408,0.1757292002,0.05124139786,0.2008764446,0
gt,Mozart_BesterJungling_RAW,Mozart_BesterJungling_RAW_01_01,0.5049238205,0.3428258598,0.2896975875,0.2652710676,0
mfcc_001,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.4331890345,0.3709903657,0.3681288064,0.37919873,7.732025623
gt,MusicDelta_Beatles_RAW,MusicDelta_Beatles_RAW_07_01,0.1665947139,0.1594956815,0.2994438112,0.4762816429,0
gt,Handel_TornamiAVagheggiar_RAW,Handel_TornamiAVagheggiar_RAW_01_01,0.3271632791,0.3440082967,0.1674396694,0.5026633143,0
gt,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_02_01,0.1610883772,0.2391344011,0.2958480716,0.5859652162,0
gt,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.1090592295,0.2619547546,0.383192867,0.591203928,0
gt,Wolf_DieBekherte_RAW,Wolf_DieBekherte_RAW_01_01,0.5523030162,0.5031080246,0.314406544,0.5920277238,0
gt,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.1687834859,0.3068825006,0.3588576019,0.6594722271,0
gt,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.2059050351,0.3156728745,0.3281508088,0.6646316648,0
afx_1,MusicDelta_Beatles_RAW,MusicDelta_Beatles_RAW_07_01,0.5273349285,0.3430911303,0.6102772951,0.6667481065,4.955334663
gt,MusicDelta_Country1_RAW,MusicDelta_Country1_RAW_05_01,0.1902540326,0.3422047496,0.3529313803,0.6761934161,0
gt,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.1727886498,0.4149355292,0.3065279722,0.6858952641,0
gt,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.210381031,0.3491631448,0.3656179309,0.6926925778,0
gt,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.2931644917,0.382215023,0.430798322,0.7006971836,0
gt,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.1703544557,0.3616985679,0.3480264544,0.7011829615,0
regression,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.3833308518,0.4104693532,0.5585207343,0.7138248682,7.774033546
